window_id,strategy,rank_column,top_n,train_start,train_end,test_start,test_end,train_objective_score,total_picks,trading_days,average_trade_return,median_trade_return,win_rate,average_daily_portfolio_return,median_daily_portfolio_return,daily_return_std,worst_daily_return,best_daily_return,cumulative_return
1,Optimized V4 Weights,optimized_score,3,2021-09-10,2023-09-10,2023-09-10,2024-03-10,-0.2609944060591074,381,127,4.095748031496063,2.15,0.6036745406824147,4.095748031496063,2.9866666666666664,11.903669433196164,-24.046666666666667,43.589999999999996,7172.618704823829
1,Current Pre Score,pre_score,3,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,381,127,3.230629921259842,1.69,0.5695538057742782,3.230629921259843,1.95,11.361207813709482,-28.436666666666667,58.426666666666655,2626.4529889997993
1,Stock vs Sector 20D,stock_vs_sector_20d_rank_pct,3,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,381,127,7.400787401574803,1.97,0.5826771653543307,7.400787401574802,5.8,18.567526228317966,-24.126666666666665,73.05666666666667,153931.96206594052
1,20D Momentum,return_20d_rank_pct,3,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,381,127,6.4090551181102375,2.48,0.5774278215223098,6.409055118110236,4.373333333333334,16.331827616038773,-20.906666666666666,73.05666666666667,68880.64476581269
1,Relative Strength,relative_strength_rank_pct,3,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,381,127,6.4652493438320215,2.88,0.5853018372703412,6.4652493438320215,4.513333333333333,16.317607538738763,-20.906666666666666,73.05666666666667,73871.64245157565
1,Momentum V4 Quality Fixed,momentum_v4_quality_fixed,3,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,381,127,4.395590551181103,2.42,0.5931758530183727,4.395590551181102,4.1033333333333335,12.43222483875072,-20.099999999999998,44.56666666666666,9734.494948744106
1,Optimized V4 Weights,optimized_score,5,2021-09-10,2023-09-10,2023-09-10,2024-03-10,-0.005232483176728753,635,127,3.863968503937007,2.1,0.6094488188976378,3.863968503937008,3.2060000000000004,9.905486076498141,-20.486,54.617999999999995,7008.385372809317
1,Current Pre Score,pre_score,5,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,635,127,3.9776220472440946,1.68,0.5716535433070866,3.9776220472440946,3.4899999999999998,10.160515402913544,-22.318,43.431999999999995,7760.8017880695015
1,Stock vs Sector 20D,stock_vs_sector_20d_rank_pct,5,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,635,127,5.364251968503937,1.83,0.5669291338582677,5.364251968503936,5.514,12.961342603863928,-16.919999999999998,50.652,30290.78631713921
1,20D Momentum,return_20d_rank_pct,5,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,635,127,5.53940157480315,1.91,0.5653543307086614,5.53940157480315,5.862,11.844564160279669,-20.338,43.874,43487.26713377762
1,Relative Strength,relative_strength_rank_pct,5,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,635,127,5.368188976377953,1.97,0.5700787401574803,5.368188976377953,5.862,11.657335578484533,-20.338,43.874,36210.556124228504
1,Momentum V4 Quality Fixed,momentum_v4_quality_fixed,5,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,635,127,4.489511811023622,2.14,0.5984251968503937,4.489511811023623,4.67,10.035858007677081,-16.872,34.788,14747.297019330892
1,Optimized V4 Weights,optimized_score,10,2021-09-10,2023-09-10,2023-09-10,2024-03-10,0.32867594639029263,1270,127,2.899370078740158,1.495,0.6007874015748031,2.8993700787401573,3.3840000000000003,6.65889883384746,-14.349,19.28,2789.124739288124
1,Current Pre Score,pre_score,10,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,1270,127,3.4997874015748027,1.045,0.5503937007874016,3.4997874015748027,3.367,8.297564421410602,-17.168,34.75,5180.702501106427
1,Stock vs Sector 20D,stock_vs_sector_20d_rank_pct,10,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,1270,127,4.000669291338583,1.65,0.5755905511811024,4.000669291338583,5.044,9.075256730860767,-15.403,29.107000000000006,8909.78189785917
1,20D Momentum,return_20d_rank_pct,10,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,1270,127,4.539236220472441,1.6,0.5598425196850394,4.53923622047244,4.835,9.336652859900955,-16.712,29.226,16756.476638126343
1,Relative Strength,relative_strength_rank_pct,10,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,1270,127,4.488669291338583,1.645,0.5574803149606299,4.488669291338583,4.813000000000001,9.310513813805624,-16.712,29.226,15788.318562668837
1,Momentum V4 Quality Fixed,momentum_v4_quality_fixed,10,2021-09-10,2023-09-10,2023-09-10,2024-03-10,,1270,127,3.6061259842519684,1.685,0.6086614173228346,3.6061259842519684,4.226999999999999,7.320969355315068,-14.354,21.758,6431.607372931492
2,Optimized V4 Weights,optimized_score,3,2022-03-10,2024-03-10,2024-03-10,2024-09-10,1.1472820895357858,387,129,2.5734625322997413,0.58,0.5167958656330749,2.5734625322997418,0.833333333333333,12.284903339871372,-23.823333333333334,37.59666666666667,1012.8207748399609
2,Current Pre Score,pre_score,3,2022-03-10,2024-03-10,2024-03-10,2024-09-10,,387,129,2.8794573643410852,0.86,0.5297157622739018,2.8794573643410857,1.18,12.73414160004716,-21.319999999999997,87.52333333333333,1575.7748634031595
2,Stock vs Sector 20D,stock_vs_sector_20d_rank_pct,3,2022-03-10,2024-03-10,2024-03-10,2024-09-10,,387,129,1.942041343669251,-0.59,0.4806201550387597,1.942041343669251,0.2966666666666666,13.355969647593694,-23.823333333333334,37.59666666666667,316.3666889905766
2,20D Momentum,return_20d_rank_pct,3,2022-03-10,2024-03-10,2024-03-10,2024-09-10,,387,129,2.344108527131783,-0.41,0.48320413436692505,2.3441085271317834,0.1300000000000002,14.042408570358573,-20.92,38.04,530.2808693676695
2,Relative Strength,relative_strength_rank_pct,3,2022-03-10,2024-03-10,2024-03-10,2024-09-10,,387,129,2.411162790697675,-0.41,0.48578811369509045,2.411162790697675,0.3566666666666671,14.018328885109833,-20.92,38.04,588.9301553275546
2,Momentum V4 Quality Fixed,momentum_v4_quality_fixed,3,2022-03-10,2024-03-10,2024-03-10,2024-09-10,,387,129,2.3092506459948314,0.72,0.5633074935400517,2.309250645994832,0.9066666666666663,9.686878566450854,-15.823333333333332,35.86333333333334,1017.3910007555014
2,Optimized V4 Weights,optimized_score,5,2022-03-10,2024-03-10,2024-03-10,2024-09-10,1.1276210326860465,645,129,0.8886666666666666,-0.16,0.4945736434108527,0.8886666666666667,0.08400000000000016,7.996909986571897,-17.694,25.534,112.25388370869412
